,state,month,year,n
1,CA,3,2015,22
2,CA,12,2015,22
3,CA,7,2015,21
4,CA,5,2020,20
5,CA,10,2015,20
6,CA,10,2020,19
7,CA,1,2017,18
8,CA,8,2016,18
9,CA,9,2015,18
10,CA,3,2017,17
11,CA,4,2015,17
12,CA,6,2019,17
13,CA,6,2020,17
14,CA,7,2022,17
15,CA,8,2015,17
16,CA,8,2020,17
17,CA,5,2017,16
18,CA,10,2019,16
19,CA,11,2015,16
20,TX,1,2015,16
21,TX,1,2019,16
22,CA,2,2016,15
23,CA,4,2021,15
24,CA,7,2016,15
25,CA,8,2017,15
26,CA,8,2021,15
27,CA,6,2017,14
28,CA,7,2017,14
29,CA,7,2018,14
30,TX,3,2018,14
31,TX,6,2019,14
32,CA,1,2021,13
33,CA,4,2018,13
34,CA,9,2021,13
35,CA,10,2021,13
36,CA,12,2019,13
37,FL,5,2020,13
38,FL,12,2019,13
39,TX,6,2022,13
40,TX,8,2015,13
41,TX,9,2021,13
42,AZ,3,2018,12
43,CA,1,2019,12
44,CA,1,2022,12
45,CA,3,2018,12
46,CA,3,2020,12
47,CA,3,2021,12
48,CA,4,2019,12
49,CA,5,2021,12
50,CA,6,2021,12
51,CA,8,2018,12
52,CA,9,2017,12
53,CA,10,2016,12
54,CA,11,2016,12
55,CA,12,2017,12
56,CA,12,2021,12
57,FL,5,2016,12
58,FL,11,2020,12
59,TX,1,2018,12
60,TX,2,2022,12
61,TX,3,2016,12
62,TX,4,2021,12
63,TX,9,2019,12
64,CA,1,2016,11
65,CA,2,2017,11
66,CA,2,2019,11
67,CA,3,2016,11
68,CA,3,2022,11
69,CA,4,2017,11
70,CA,5,2022,11
71,CA,6,2015,11
72,CA,8,2019,11
73,CA,11,2020,11
74,CA,12,2016,11
75,CA,12,2018,11
76,FL,10,2020,11
77,GA,6,2021,11
78,TX,1,2021,11
79,TX,2,2017,11
80,TX,5,2018,11
81,TX,7,2022,11
82,CA,2,2021,10
83,CA,5,2019,10
84,CA,6,2022,10
85,CA,9,2020,10
86,CA,10,2017,10
87,CA,11,2017,10
88,CA,11,2018,10
89,CA,12,2020,10
90,FL,3,2021,10
91,FL,8,2020,10
92,TX,2,2016,10
93,TX,3,2019,10
94,TX,3,2021,10
95,TX,5,2022,10
96,TX,6,2015,10
97,TX,7,2019,10
98,TX,8,2021,10
99,TX,11,2020,10
100,CA,1,2015,9
101,CA,1,2018,9
102,CA,2,2015,9
103,CA,2,2018,9
104,CA,2,2022,9
105,CA,3,2019,9
106,CA,4,2022,9
107,CA,5,2016,9
108,CA,7,2019,9
109,CA,7,2020,9
110,CA,9,2016,9
111,FL,3,2022,9
112,FL,5,2019,9
113,FL,12,2018,9
114,OK,4,2015,9
115,TX,3,2020,9
116,TX,4,2018,9
117,TX,5,2020,9
118,TX,7,2015,9
119,TX,9,2016,9
120,TX,12,2020,9
121,AZ,1,2021,8
122,AZ,3,2022,8
123,AZ,7,2017,8
124,CA,4,2016,8
125,CA,4,2020,8
126,CA,5,2015,8
127,CA,6,2016,8
128,CA,6,2018,8
129,CA,7,2021,8
130,CA,10,2018,8
131,CA,11,2019,8
132,CO,5,2020,8
133,FL,1,2020,8
134,FL,2,2018,8
135,FL,2,2020,8
136,FL,3,2020,8
137,FL,5,2022,8
138,FL,6,2022,8
139,FL,7,2015,8
140,FL,10,2015,8
141,FL,12,2016,8
142,TN,10,2021,8
143,TX,2,2015,8
144,TX,2,2018,8
145,TX,3,2022,8
146,TX,4,2016,8
147,TX,4,2020,8
148,TX,6,2021,8
149,TX,7,2021,8
150,TX,8,2020,8
151,TX,10,2015,8
152,TX,10,2016,8
153,TX,10,2019,8
154,TX,11,2015,8
155,TX,12,2019,8
156,AZ,3,2015,7
157,AZ,4,2018,7
158,AZ,7,2018,7
159,AZ,8,2016,7
160,AZ,10,2017,7
161,CA,1,2020,7
162,CA,2,2020,7
163,CA,9,2019,7
164,CO,4,2021,7
165,FL,2,2017,7
166,FL,3,2015,7
167,FL,3,2019,7
168,FL,7,2019,7
169,FL,9,2015,7
170,FL,10,2017,7
171,FL,10,2018,7
172,FL,10,2021,7
173,GA,4,2022,7
174,GA,10,2018,7
175,GA,10,2019,7
176,MO,12,2021,7
177,NC,2,2017,7
178,TX,1,2016,7
179,TX,1,2017,7
180,TX,2,2019,7
181,TX,2,2021,7
182,TX,4,2015,7
183,TX,4,2017,7
184,TX,4,2022,7
185,TX,7,2018,7
186,TX,8,2019,7
187,TX,8,2022,7
188,TX,10,2018,7
189,TX,12,2017,7
190,AZ,1,2019,6
191,AZ,1,2020,6
192,AZ,2,2015,6
193,AZ,2,2022,6
194,AZ,5,2019,6
195,AZ,5,2021,6
196,AZ,5,2022,6
197,AZ,7,2016,6
198,AZ,12,2020,6
199,CA,5,2018,6
200,CA,8,2022,6
201,CA,11,2021,6
